x,z,y
128.25,121.08,9.20
128.25,121.46,9.48
128.25,121.96,9.48
128.18,122.43,9.48
127.82,122.79,9.48
127.47,123.14,9.48
127.12,123.49,9.48
126.76,123.85,9.48
126.75,124.34,9.48
126.75,124.70,9.82
126.75,125.13,9.98
126.75,125.63,9.98
126.75,126.05,10.18
126.75,126.43,10.48
126.75,126.93,10.48
126.75,127.41,10.53
126.75,127.76,10.88
126.75,128.22,10.98
126.50,128.61,10.98
126.14,128.97,10.98
125.79,129.32,10.98
125.75,129.68,11.30
125.75,130.10,11.48
125.75,130.60,11.48
125.75,131.03,11.65
125.75,131.39,11.98
125.75,131.88,12.01
125.75,132.24,12.36
125.75,132.68,12.48
125.75,133.18,12.48
125.75,133.59,12.71
125.75,133.98,12.98
125.75,134.44,13.07
125.75,134.80,13.42
125.75,135.27,13.48
125.75,135.77,13.48
125.75,136.15,13.77
125.75,136.56,13.98
125.75,137.06,13.98
125.75,137.50,14.13
125.75,137.86,14.48
125.40,138.21,14.48
125.25,138.65,14.48
125.25,139.15,14.48
125.25,139.65,14.48
125.25,140.06,14.69
125.25,140.44,14.98
125.25,140.94,14.98
125.25,141.44,14.98
125.25,141.92,15.04
125.25,142.27,15.40
125.25,142.73,15.48
125.52,143.13,15.48
125.82,143.43,15.62
126.02,143.63,16.03
126.23,143.84,16.44
125.99,144.12,16.23
125.70,144.41,15.98
125.34,144.77,15.98
125.04,145.07,15.77
124.75,145.36,15.48
124.39,145.72,15.48
124.25,146.16,15.48
124.25,146.66,15.48
124.25,147.16,15.48
124.25,147.66,15.48
124.04,148.07,15.48
123.70,148.41,15.43
123.41,148.70,15.14
123.12,148.99,14.85
122.83,149.28,14.57
122.50,149.61,14.48
122.25,150.01,14.48
122.25,150.51,14.48
122.25,151.01,14.48
122.25,151.51,14.48
122.25,151.97,14.38
122.25,152.32,14.02
122.25,152.80,13.98
122.25,153.30,13.98
122.25,153.80,13.98
122.25,154.30,13.98
122.25,154.80,13.98
122.25,155.30,13.98
122.56,155.67,13.98
122.75,156.10,13.98
122.75,156.60,13.98
122.75,157.10,13.98
122.75,157.60,13.98
122.75,158.03,13.82
122.75,158.39,13.48
122.75,158.89,13.48
122.75,159.39,13.48
122.73,159.88,13.47
122.44,160.17,13.18
122.25,160.52,12.98
122.25,161.02,12.98
122.25,161.48,12.87
122.25,161.83,12.51
122.25,162.32,12.48
122.25,162.82,12.48
122.25,163.32,12.48
122.25,163.82,12.48
122.25,164.18,12.16
122.25,164.61,11.98
122.25,165.11,11.98
122.43,165.54,11.98
122.75,165.89,11.95
122.75,166.24,11.60
122.75,166.69,11.48
122.75,167.19,11.48
122.99,167.60,11.48
123.34,167.95,11.48
123.69,168.30,11.48
123.75,168.78,11.48
123.75,169.16,11.19
123.75,169.57,10.98
123.75,170.07,10.98
123.75,170.57,10.98
123.90,171.01,10.98
124.25,171.36,10.98
124.61,171.72,10.98
124.96,172.07,10.98
125.32,172.43,10.98
125.67,172.78,10.98
126.02,173.13,10.98
126.38,173.49,10.98
126.73,173.84,10.98
127.08,174.19,10.98
127.44,174.55,10.98
127.79,174.90,10.98
128.14,175.25,10.98
128.50,175.61,10.98
128.85,175.96,10.98
129.20,176.31,10.98
129.56,176.67,10.98
129.91,177.02,10.98
130.25,177.37,10.97
130.25,177.73,10.62
130.47,178.08,10.48
130.75,178.47,10.48
130.83,178.94,10.48
131.18,179.29,10.48
131.53,179.64,10.48
131.86,179.97,10.37
132.15,180.26,10.08
132.48,180.59,9.98
132.83,180.94,9.98
133.19,181.30,9.98
133.54,181.65,9.98
133.87,181.98,9.87
134.16,182.27,9.58
134.49,182.60,9.48
134.84,182.95,9.48
135.20,183.31,9.48
135.55,183.66,9.48
135.88,183.99,9.36
136.16,184.27,9.07
136.50,184.61,8.98
136.83,184.94,8.90
137.12,185.23,8.61
137.45,185.56,8.48
137.79,185.90,8.44
138.08,186.19,8.15
138.40,186.51,7.98
138.75,186.86,7.98
139.10,187.21,7.98
139.42,187.53,7.82
139.71,187.82,7.53
140.05,188.16,7.48
140.38,188.49,7.36
140.66,188.77,7.07
141.00,189.11,6.98
141.35,189.46,6.98
141.71,189.82,6.98
142.00,190.11,6.73
142.30,190.41,6.48
142.65,190.76,6.48
143.01,191.12,6.48
143.36,191.47,6.48
143.72,191.83,6.48
144.01,192.12,6.22
144.31,192.42,5.98
144.66,192.77,5.98
145.02,193.13,5.98
145.37,193.48,5.98
145.72,193.83,5.98
146.08,194.19,5.98
146.43,194.54,5.98
146.78,194.89,5.98
147.14,195.25,5.98
147.45,195.56,6.18
147.74,195.85,6.47
148.09,196.20,6.48
148.44,196.55,6.48
148.79,196.90,6.48
149.15,197.26,6.48
149.45,197.56,6.69
149.74,197.85,6.98
150.10,198.21,6.98
150.41,198.52,7.15
150.70,198.81,7.44
151.04,199.15,7.48
151.37,199.48,7.60
151.66,199.77,7.89
151.99,200.10,7.98
152.33,200.44,8.06
152.62,200.73,8.35
152.91,201.02,8.64
153.19,201.30,8.93
153.54,201.65,8.98
153.86,201.97,9.10
154.15,202.26,9.39
154.44,202.55,9.67
154.73,202.84,9.96
155.08,203.19,9.98
155.40,203.51,10.13
155.69,203.80,10.42
156.03,204.14,10.48
156.36,204.47,10.59
156.64,204.75,10.88
156.97,205.08,10.98
157.31,205.42,11.05
157.60,205.71,11.34
157.92,205.86,11.66
158.29,205.86,11.98
158.78,205.86,12.01
159.13,205.86,12.36
159.48,206.09,12.48
159.82,206.43,12.56
160.11,206.72,12.84
160.43,207.04,12.98
160.78,207.39,13.01
161.07,207.68,13.30
161.38,207.99,13.48
161.73,208.34,13.48
162.09,208.70,13.48
162.41,209.02,13.64
162.69,209.30,13.93
163.04,209.65,13.98
163.39,210.00,13.98
163.74,210.35,13.98
164.10,210.71,13.98
164.45,211.06,13.98
164.80,211.41,13.98
165.16,211.77,13.98
165.51,212.12,13.98
165.86,212.47,13.98
166.22,212.83,13.98
166.51,213.12,13.72
166.81,213.42,13.48
167.17,213.78,13.48
167.47,214.08,13.26
167.76,214.37,12.98
168.11,214.72,12.98
168.43,215.04,12.81
168.72,215.33,12.52
169.06,215.67,12.48
169.42,216.03,12.48
169.77,216.38,12.47
170.05,216.66,12.18
170.36,216.97,11.98
170.72,217.33,11.98
171.01,217.62,11.72
171.30,217.91,11.43
171.59,218.20,11.14
171.91,218.52,10.98
172.26,218.87,10.98
172.61,219.22,10.98
172.93,219.54,10.81
173.22,219.83,10.52
173.51,220.12,10.23
173.80,220.41,9.98
174.16,220.77,9.98
174.46,221.07,9.77
174.75,221.36,9.48
175.11,221.72,9.48
175.46,222.07,9.48
175.80,222.41,9.43
176.09,222.70,9.14
176.41,223.02,8.98
176.76,223.37,8.97
177.05,223.66,8.69
177.36,223.97,8.48
177.71,224.32,8.48
178.01,224.62,8.23
178.30,224.91,7.98
178.66,225.27,7.98
179.01,225.62,7.98
179.36,225.97,7.98
179.72,226.33,7.98
180.01,226.62,7.72
180.31,226.92,7.48
180.67,227.28,7.48
181.02,227.63,7.48
181.37,227.98,7.48
181.73,228.34,7.48
182.02,228.63,7.21
182.32,228.93,6.98
182.68,229.29,6.98
183.03,229.64,6.98
183.38,229.99,6.98
183.74,230.35,6.98
184.09,230.70,6.98
184.44,231.05,6.98
184.79,231.40,6.95
185.08,231.69,6.66
185.39,232.00,6.48
185.75,232.36,6.48
186.10,232.71,6.48
186.45,233.06,6.48
186.81,233.42,6.48
187.16,233.77,6.48
187.51,234.12,6.48
187.87,234.48,6.48
188.22,234.83,6.48
188.57,235.18,6.48
188.93,235.54,6.48
189.28,235.89,6.48
189.63,236.24,6.48
189.94,236.55,6.29
190.23,236.84,6.00
190.58,237.19,5.98
190.94,237.55,5.98
191.29,237.90,5.98
191.64,238.25,5.98
192.00,238.61,5.98
192.35,238.96,5.98
192.70,239.31,5.98
193.06,239.67,5.98
193.41,240.02,5.98
193.76,240.37,5.98
194.12,240.73,5.98
194.47,241.08,5.98
194.83,241.44,5.98
195.18,241.79,5.98
195.53,242.14,5.98
195.89,242.50,5.98
196.24,242.85,5.98
196.59,243.20,5.98
196.95,243.56,5.98
197.30,243.91,5.98
197.65,244.26,5.98
198.01,244.62,5.98
198.36,244.97,5.98
198.71,245.32,5.98
199.07,245.68,5.98
199.42,246.03,5.98
199.78,246.39,5.98
200.13,246.74,5.98
200.44,247.05,6.17
200.73,247.34,6.46
201.08,247.69,6.48
201.43,248.04,6.48
201.78,248.39,6.48
202.14,248.75,6.48
202.49,249.10,6.48
202.84,249.45,6.48
203.20,249.81,6.48
203.55,250.16,6.48
203.91,250.52,6.48
204.26,250.87,6.48
204.61,251.22,6.48
204.97,251.58,6.48
205.31,251.92,6.54
205.60,252.21,6.83
205.91,252.52,6.98
206.27,252.88,6.98
206.62,253.23,6.98
206.97,253.58,6.98
207.33,253.94,6.98
207.68,254.29,6.98
208.04,254.65,6.98
208.39,255.00,6.98
208.74,255.35,6.98
209.03,255.64,7.27
209.34,255.95,7.48
209.69,256.30,7.48
210.04,256.65,7.48
210.40,257.01,7.48
210.75,257.36,7.48
211.11,257.72,7.48
211.46,258.07,7.48
211.81,258.42,7.48
212.17,258.78,7.48
212.52,259.13,7.48
212.87,259.48,7.48
213.23,259.84,7.48
213.52,260.13,7.75
213.82,260.43,7.98
214.17,260.78,7.98
214.53,261.14,7.98
214.88,261.49,7.98
215.24,261.85,7.98
215.59,262.20,7.98
215.94,262.55,7.98
216.30,262.91,7.98
216.65,263.26,7.98
217.00,263.61,7.98
217.36,263.97,7.98
217.71,264.32,7.98
218.06,264.67,7.98
218.42,265.03,7.98
218.77,265.38,7.98
219.12,265.73,7.98
219.48,266.09,7.98
219.83,266.44,7.98
220.19,266.80,7.98
220.54,267.15,7.98
220.89,267.50,7.98
221.25,267.86,7.98
221.60,268.21,7.98
221.95,268.56,7.98
222.31,268.92,7.98
222.66,269.27,7.98
223.01,269.62,7.98
223.37,269.98,7.98
223.72,270.33,7.98
224.07,270.68,7.98
224.43,271.04,7.98
224.78,271.39,7.98
225.13,271.74,7.98
225.49,272.10,7.98
225.84,272.45,7.98
226.20,272.81,7.98
226.55,273.16,7.98
226.90,273.51,7.98
227.26,273.87,7.98
227.61,274.22,7.98
227.96,274.57,7.98
228.32,274.93,7.98
228.67,275.28,7.98
229.02,275.63,7.98
229.38,275.99,7.98
229.73,276.34,7.98
230.08,276.69,7.98
230.44,277.05,7.98
230.79,277.40,7.98
231.15,277.76,7.98
231.50,278.11,7.98
231.85,278.46,7.98
232.21,278.82,7.98
232.56,279.17,7.98
232.91,279.52,7.98
233.27,279.86,7.98
233.77,279.86,7.98
234.27,279.86,7.98
234.77,279.86,7.98
235.27,279.86,7.98
235.77,279.86,7.98
236.27,279.86,7.98
236.77,279.86,7.98
237.27,279.86,7.98
237.77,279.86,7.98
238.27,279.86,7.98
238.77,279.86,7.98
239.27,279.86,7.98
239.77,279.86,7.98
240.27,279.86,7.98
240.77,279.86,7.98
241.27,279.86,7.98
241.77,279.86,7.98
242.27,279.86,7.98
242.77,279.86,7.98
243.27,279.86,7.98
243.77,279.86,7.98
244.27,279.86,7.98
244.77,279.86,7.98
245.27,279.86,7.98
245.77,279.86,7.98
246.27,279.86,7.98
246.77,279.86,7.98
247.27,279.86,7.98
247.77,279.86,7.98
248.27,279.86,7.98
248.77,279.86,7.98
249.27,279.86,7.98
249.77,279.86,7.98
250.27,279.86,7.98
250.77,279.86,7.98
251.27,279.86,7.98
251.77,279.86,7.98
252.27,279.86,7.98
252.77,279.86,7.98
253.27,279.86,7.98
253.77,279.86,7.98
254.27,279.86,7.98
254.77,279.86,7.98
255.27,279.86,7.98
255.77,279.86,7.98
256.27,279.86,7.98
256.77,279.86,7.98
257.27,279.86,7.98
257.77,279.86,7.98
258.27,279.86,7.98
258.77,279.86,7.98
259.27,279.86,7.98
259.77,279.86,7.98
260.27,279.86,7.98
260.77,279.86,8.00
261.12,279.86,8.35
261.57,279.86,8.48
262.07,279.86,8.48
262.57,279.86,8.48
263.07,279.86,8.48
263.57,279.86,8.48
264.07,279.86,8.48
264.57,279.86,8.48
265.07,279.86,8.48
265.57,279.86,8.48
266.07,279.86,8.48
266.57,279.86,8.48
267.07,279.86,8.48
267.57,279.86,8.48
268.07,279.86,8.48
268.57,279.86,8.48
269.07,279.86,8.48
269.57,279.86,8.48
270.07,279.86,8.48
270.57,279.86,8.48
271.07,279.86,8.48
271.57,279.86,8.48
272.07,279.86,8.48
272.57,279.86,8.48
273.07,279.86,8.48
273.57,279.86,8.48
274.07,279.86,8.48
274.57,279.86,8.48
275.07,279.86,8.48
275.57,279.86,8.48
276.07,279.86,8.48
276.57,279.86,8.48
277.07,279.86,8.48
277.57,279.86,8.48
278.07,279.86,8.48
278.57,279.86,8.48
279.07,279.86,8.48
279.57,279.86,8.48
279.75,279.86,8.48
